     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
   6600000,        10,         0,162675.0,relay_bp_xyz,85e2f67a656a7e66d11e61b47c808642a533c86b5a154d95054f4b7d68bb3688,"{""d"":12,""p"":0.0015,""rounds"":12}",
   6500000,        12,         0,163874.0,relay_bp_xyz,85e2f67a656a7e66d11e61b47c808642a533c86b5a154d95054f4b7d68bb3688,"{""d"":12,""p"":0.0015,""rounds"":12}",
   7700000,        14,         0,162810.0,relay_bp_xyz,85e2f67a656a7e66d11e61b47c808642a533c86b5a154d95054f4b7d68bb3688,"{""d"":12,""p"":0.0015,""rounds"":12}",

  10500000,         3,         0,161949.0,relay_bp_xyz,162c52a7119111304238d16560e93818c870cd841e36786e72d23fd95132e727,"{""d"":12,""p"":0.001,""rounds"":12}",
  10600000,         3,         0,162960.0,relay_bp_xyz,162c52a7119111304238d16560e93818c870cd841e36786e72d23fd95132e727,"{""d"":12,""p"":0.001,""rounds"":12}",
  10600000,         1,         0,163432.0,relay_bp_xyz,162c52a7119111304238d16560e93818c870cd841e36786e72d23fd95132e727,"{""d"":12,""p"":0.001,""rounds"":12}",
   9000000,         2,         0,162767.0,relay_bp_xyz,162c52a7119111304238d16560e93818c870cd841e36786e72d23fd95132e727,"{""d"":12,""p"":0.001,""rounds"":12}",
   9600000,         5,         0,162221.0,relay_bp_xyz,162c52a7119111304238d16560e93818c870cd841e36786e72d23fd95132e727,"{""d"":12,""p"":0.001,""rounds"":12}",
   9900000,         6,         0,163380.0,relay_bp_xyz,162c52a7119111304238d16560e93818c870cd841e36786e72d23fd95132e727,"{""d"":12,""p"":0.001,""rounds"":12}",
  10000000,         1,         0,162724.0,relay_bp_xyz,162c52a7119111304238d16560e93818c870cd841e36786e72d23fd95132e727,"{""d"":12,""p"":0.001,""rounds"":12}",
   7700000,         2,         0,163543.0,relay_bp_xyz,162c52a7119111304238d16560e93818c870cd841e36786e72d23fd95132e727,"{""d"":12,""p"":0.001,""rounds"":12}",
   9800000,         4,         0,163237.0,relay_bp_xyz,162c52a7119111304238d16560e93818c870cd841e36786e72d23fd95132e727,"{""d"":12,""p"":0.001,""rounds"":12}",
   9600000,         3,         0,162558.0,relay_bp_xyz,162c52a7119111304238d16560e93818c870cd841e36786e72d23fd95132e727,"{""d"":12,""p"":0.001,""rounds"":12}",
